"County","FIPS","Year","Measure Type","Variable","Value"
"Connecticut","09","2010","Number","Estimated Population",3579125
"Connecticut","09","2011","Number","Estimated Population",3588023
"Connecticut","09","2012","Number","Estimated Population",3594395
"Connecticut","09","2013","Number","Estimated Population",3594915
"Connecticut","09","2014","Number","Estimated Population",3594783
"Connecticut","09","2015","Number","Estimated Population",3587509
"Connecticut","09","2016","Number","Estimated Population",3578674
"Connecticut","09","2017","Number","Estimated Population",3573880
"Connecticut","09","2018","Number","Estimated Population",3572665
"Fairfield County","09001","2010","Number","Estimated Population",919330
"Fairfield County","09001","2011","Number","Estimated Population",927897
"Fairfield County","09001","2012","Number","Estimated Population",935097
"Fairfield County","09001","2013","Number","Estimated Population",939991
"Fairfield County","09001","2014","Number","Estimated Population",944355
"Fairfield County","09001","2015","Number","Estimated Population",945301
"Fairfield County","09001","2016","Number","Estimated Population",944802
"Fairfield County","09001","2017","Number","Estimated Population",943457
"Fairfield County","09001","2018","Number","Estimated Population",943823
"Hartford County","09003","2010","Number","Estimated Population",895226
"Hartford County","09003","2011","Number","Estimated Population",896776
"Hartford County","09003","2012","Number","Estimated Population",897694
"Hartford County","09003","2013","Number","Estimated Population",897724
"Hartford County","09003","2014","Number","Estimated Population",897493
"Hartford County","09003","2015","Number","Estimated Population",896358
"Hartford County","09003","2016","Number","Estimated Population",894170
"Hartford County","09003","2017","Number","Estimated Population",892931
"Hartford County","09003","2018","Number","Estimated Population",892697
"Litchfield County","09005","2010","Number","Estimated Population",189806
"Litchfield County","09005","2011","Number","Estimated Population",189002
"Litchfield County","09005","2012","Number","Estimated Population",187609
"Litchfield County","09005","2013","Number","Estimated Population",186886
"Litchfield County","09005","2014","Number","Estimated Population",185398
"Litchfield County","09005","2015","Number","Estimated Population",184133
"Litchfield County","09005","2016","Number","Estimated Population",182801
"Litchfield County","09005","2017","Number","Estimated Population",181710
"Litchfield County","09005","2018","Number","Estimated Population",181111
"Middlesex County","09007","2010","Number","Estimated Population",165602
"Middlesex County","09007","2011","Number","Estimated Population",166176
"Middlesex County","09007","2012","Number","Estimated Population",165441
"Middlesex County","09007","2013","Number","Estimated Population",165156
"Middlesex County","09007","2014","Number","Estimated Population",164597
"Middlesex County","09007","2015","Number","Estimated Population",163555
"Middlesex County","09007","2016","Number","Estimated Population",163152
"Middlesex County","09007","2017","Number","Estimated Population",162855
"Middlesex County","09007","2018","Number","Estimated Population",162682
"New Haven County","09009","2010","Number","Estimated Population",863382
"New Haven County","09009","2011","Number","Estimated Population",863827
"New Haven County","09009","2012","Number","Estimated Population",864589
"New Haven County","09009","2013","Number","Estimated Population",862889
"New Haven County","09009","2014","Number","Estimated Population",862996
"New Haven County","09009","2015","Number","Estimated Population",860292
"New Haven County","09009","2016","Number","Estimated Population",857991
"New Haven County","09009","2017","Number","Estimated Population",857794
"New Haven County","09009","2018","Number","Estimated Population",857620
"New London County","09011","2010","Number","Estimated Population",273998
"New London County","09011","2011","Number","Estimated Population",273013
"New London County","09011","2012","Number","Estimated Population",274085
"New London County","09011","2013","Number","Estimated Population",272981
"New London County","09011","2014","Number","Estimated Population",271465
"New London County","09011","2015","Number","Estimated Population",269717
"New London County","09011","2016","Number","Estimated Population",268612
"New London County","09011","2017","Number","Estimated Population",267826
"New London County","09011","2018","Number","Estimated Population",266784
"Tolland County","09013","2010","Number","Estimated Population",153236
"Tolland County","09013","2011","Number","Estimated Population",153027
"Tolland County","09013","2012","Number","Estimated Population",151963
"Tolland County","09013","2013","Number","Estimated Population",151783
"Tolland County","09013","2014","Number","Estimated Population",151710
"Tolland County","09013","2015","Number","Estimated Population",151685
"Tolland County","09013","2016","Number","Estimated Population",151094
"Tolland County","09013","2017","Number","Estimated Population",150933
"Tolland County","09013","2018","Number","Estimated Population",150921
"Windham County","09015","2010","Number","Estimated Population",118545
"Windham County","09015","2011","Number","Estimated Population",118305
"Windham County","09015","2012","Number","Estimated Population",117917
"Windham County","09015","2013","Number","Estimated Population",117505
"Windham County","09015","2014","Number","Estimated Population",116769
"Windham County","09015","2015","Number","Estimated Population",116468
"Windham County","09015","2016","Number","Estimated Population",116052
"Windham County","09015","2017","Number","Estimated Population",116374
"Windham County","09015","2018","Number","Estimated Population",117027
